Issue Type,Summary,Description,Priority,Labels,Epic Link,Story Points
Story,Create timeline aggregate API,Add API endpoint for cycle timeline status blockers next-action and role visibility constraints.,Highest,"phase-a,p0,timeline,api",P0 Timeline Workspace Foundation,8
Task,Implement timeline state resolver,Build deterministic resolver mapping lifecycle entities to one current stage and allowed transitions.,Highest,"phase-a,p0,timeline,backend",P0 Timeline Workspace Foundation,5
Task,Add timeline telemetry events,Emit events for stage view action click and forbidden transition attempts with reason codes.,High,"phase-a,p0,timeline,telemetry",P0 Timeline Workspace Foundation,3
Story,Build employee timeline page v1,Create employee timeline workspace with inline nodes and one primary action per stage.,Highest,"phase-a,p0,timeline,frontend",P0 Timeline Workspace Foundation,8
Story,Build manager and HR timeline pages v1,Create manager and HR timeline variants with role-specific node actions and status cards.,Highest,"phase-a,p0,timeline,frontend",P0 Timeline Workspace Foundation,8
Task,Add deep-link compatibility for existing pages,Keep existing route pages functional and reachable as fallback links from timeline view.,High,"phase-a,p0,timeline,compatibility",P0 Timeline Workspace Foundation,3
Story,Introduce framework policy schema,Create framework_policies model with defaults and actor audit fields.,Highest,"phase-a,p0,framework,data-model",P0 Framework Policy Engine,5
Story,Expand framework support,Add Balanced Scorecard and Competency framework options in validation and UI flows.,Highest,"phase-a,p0,framework",P0 Framework Policy Engine,5
Task,Add HR framework policy API,Implement read and update API for framework enablement and defaults by business scope.,High,"phase-a,p0,framework,api",P0 Framework Policy Engine,5
Task,Update goal validation to policy-driven checks,Replace hardcoded framework acceptance logic with effective-policy validation layer.,Highest,"phase-a,p0,framework,backend",P0 Framework Policy Engine,5
Task,Add migration-safe handling for existing goals,Ensure legacy goals remain readable editable and submit-safe after framework expansion.,High,"phase-a,p0,framework,migration",P0 Framework Policy Engine,3
Story,Create notification entities,Add templates jobs and events data models with status retry and suppression support.,Highest,"phase-a,p0,notifications,data-model",P0 Notifications and Nudges,5
Story,Build notification scheduler,Implement scheduler worker or cron route to process due jobs and retries.,Highest,"phase-a,p0,notifications,backend",P0 Notifications and Nudges,8
Task,Implement email dispatcher abstraction,Create provider-agnostic email dispatch layer with structured failure reason logging.,High,"phase-a,p0,notifications,service",P0 Notifications and Nudges,5
Task,Build in-app pending action feed,Expose user-visible notification feed with actionable links and read states.,High,"phase-a,p0,notifications,frontend",P0 Notifications and Nudges,5
Task,Add HR notification policy UI,Create policy page for templates schedules digest windows and suppression settings.,High,"phase-a,p0,notifications,frontend",P0 Notifications and Nudges,8
Story,Create lineage edge schema,Add parent-child relation model with contribution percentage and lineage level metadata.,Highest,"phase-a,p0,lineage,data-model",P0 Goal Lineage Baseline,5
Story,Implement lineage read API,Build graph-safe API returning ordered lineage path and contribution summaries.,Highest,"phase-a,p0,lineage,api",P0 Goal Lineage Baseline,5
Task,Add contribution validation guardrails,Enforce bounded contribution totals and reject invalid cascades with clear errors.,High,"phase-a,p0,lineage,validation",P0 Goal Lineage Baseline,3
Task,Build lineage UI panel,Add goal detail lineage panel with plain-language parent objective explanation and badges.,High,"phase-a,p0,lineage,frontend",P0 Goal Lineage Baseline,5
Task,Add legacy fallback rendering for lineage,Render goals without lineage metadata gracefully without blocking existing flows.,High,"phase-a,p0,lineage,compatibility",P0 Goal Lineage Baseline,3
Story,Define shared explainable AI response contract,Create standard response envelope with recommendation whyFactors confidence and timeWindow.,High,"phase-b,p1,ai,contract",P1 Explainable AI Contract,5
Task,Apply explainable contract to goal suggestion API,Update goal suggestion endpoint and tests to enforce explainability fields.,High,"phase-b,p1,ai,api",P1 Explainable AI Contract,3
